title--qJ7Xg_90,title--qJ7Xg_90 2,title--qJ7Xg_90 3,title--qJ7Xg_90 4,text--eAiSCa_r,priceInt--yqqZMJ5a,priceFloat--XpixvyQ1,priceDesc--jykuwuhx,realSales--XZJiepmt,procity--wlcT2xH9,procity--wlcT2xH9 2,subIconWrapper--Vl8zAdQn,subIconWrapper--Vl8zAdQn 2,shopNameText--DmtlsDKm,title--qJ7Xg_90 5,subIconWrapper--Vl8zAdQn 3,shopTagText--wujObz6g
出租Rokid AR Lite若琪AR max2 高清巨幕游戏翻译一体机,智能,眼镜,,,38,0.7,券后价,5人收货,浙江,杭州,官方立减12%,淘金币已抵0.9元,闪速租赁企业店,,包邮,
Pico4/piconeo3 全新VR二手pico VR一体机3DVR视频,眼镜,智能,眼镜,LCD,999,,,5人收货,重庆,,3期,退货宝,EasinVR数码,,包邮,
雷鸟V3SlimAI拍摄无线蓝牙音频镜架款,眼镜,智能,眼镜,MicroOLED,1579,,券后价,5人收货,北京,,退货宝,包邮,兆为VR,眼镜,,
二手Pico 4Neo3/4先锋版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,,699,,,5人收货,江苏,无锡,3期,包邮,西城智能数码,眼镜,,
二手Pico 4 畅玩版256G VR一体机4K体感游戏机3D虚拟现实,眼镜,智能,,,1910,,,5人收货,江苏,无锡,,,神奇宝贝数码,,,
华为三代飞行员墨镜可更换镜框华为耳机蓝牙耳机开放式,智能,眼镜,,,599,,券后价,5人收货,河南,郑州,官方立减12%,包邮,极锐数码,,,回头客7千
华为2钛空4代耳机蓝牙华为蓝牙二代四代配防蓝光镜片,智能,眼镜,眼镜,5.3,1279,,补贴价,本月行业热销,广东,深圳,热销爆款,满800减80,华为五洲联鑫专卖店,,已补800元,回头客6万
【蔡司近视定制款】雷鸟RayNeo V3 Slim AI拍摄无线蓝牙音频无线耳机语音操控镜架款,眼镜,智能,眼镜,,2147,0.03,券后价,4人收货,广东,广州,3期,淘金币已抵1.97元,雷鸟智能眼镜旗舰店,眼镜,退货宝,回头客1万
雷鸟Air3ar非VR便携手机投屏观影显示设备雷鸟air 2S,智能,眼镜,眼镜,,569,,券后价,4人收货,广东,深圳,店铺满400减30,包邮,幻视VR,,,
独立安卓系统 AR翻译,智能,眼镜,,ChatGPT,4999,,券后价,本月行业热销,安徽,合肥,满1500减150,包邮,亲爱的翻译官旗舰店,,,
【串流神器 重磅新品】VITUREPro颈环AR空间计算终端海量应用私人影院 支持手势识别 多屏模式ar搭档,智能,眼镜,,,2097,0.03,券后价,4人收货,广东,广州,满1500减150,官方立减12%,Viture智能设备旗舰店,,淘金币已抵1.97元,
雷鸟Air 2冠军版AR高清观影便携屏120Hz高刷掌机巨幕非vrvision pro平替,智能,眼镜,眼镜,,1397,0.03,券后价,4人收货,广东,东莞,满800减80,官方立减12%,雷鸟智能眼镜旗舰店,,3期,回头客1万
XREAL Air2 Ultra全适配3DoF,智能,眼镜,,,3999,,,3人收货,北京,,包邮,,XREAL企业店,,,
【旗舰新品】雷鸟RayNeo X3 Pro 概念AI真无线双目全彩显示光波导AR翻译便携XR,眼镜,眼镜,眼镜,,9147,0.03,券后价,行业销量前20,广东,东莞,热销爆款,满1500减150,雷鸟智能眼镜旗舰店,眼镜,3期,回头客1万
【新品首发丨热卖爆款】雷鸟RayNeo Air 3s Pro口袋电视AR高清观影非vr支持iPhone16,智能,眼镜,眼镜,,1447,0.03,券后价,3人收货,上海,,满800减80,官方立减400元,严选智能设备专营店,,淘金币已抵1.97元,
雷鸟RayNeo Air 3s Pro AR观影百英寸巨幕影院3D游戏XR非VR一体机便携显示器 支持Switch2 1953,眼镜,智能,眼镜,MicroOLED,1743,0.44,券后价,3人收货,江苏,南京,淘金币已抵1.97元,包邮,苏宁易购官方旗舰店,,,9年老店
华为3代飞行员耳机蓝牙墨镜可配镜片第三代可替换前框,智能,眼镜,,,759,,券后价,本月行业热销,河南,郑州,热销爆款,满500减50,华为乐之途专卖店,,官方立减12%,回头客3万
【官方正品授权】GOOVIS G3 Max头戴3D巨幕显示器非VR/AR头戴影院高清视频IMAX级观影头显,智能,眼镜,,MicroOLED,6827,0.03,券后价,3人收货,广东,深圳,满1500减150,官方立减12%,积善嘉品智能设备专营店,,24期,
华为2蓝牙耳机通话华为4代华为配镜镜框,智能,眼镜,智能,,1018,,券后价,3人收货,浙江,杭州,官方立减12%,包邮,极锐数码,眼镜,,回头客7千
VITURE适用华为ai实时翻译同声传译蓝牙通话隐蔽听歌,智能,眼镜,智能,,955,0.7,,2人收货,广东,深圳,退货宝,包邮,VITURE旗官,,公益宝贝,
VITURE带摄像头适用于华为苹果小米蓝牙连接可拍摄录制听,智能,眼镜,,,1145,0.7,,2人收货,北京,,退货宝,包邮,VITURE旗官,,公益宝贝,
PICO 4 Ultra MR混合现实一体机VR游戏串流虚拟现实空间,眼镜,智能,,LCD,2849,,,2人收货,安徽,合肥,退货宝,包邮,灯尼屋,,,
雷鸟V3AI拍摄防抖无线蓝牙音频语音控制无线耳机录音翻译,智能,眼镜,,,1559,,券后价,2人收货,山东,济南,店铺满11减10,包邮,陆克眼镜,,,
INMO GO2AR实时同声翻译离线翻译演讲提词器AI会议助手出国旅游留学上课翻译机神器,智能,眼镜,,,5997,0.03,券后价,2人收货,上海,,淘金币已抵1.97元,退货宝,尚限影音旗舰店,,包邮,
XREAL蓝牙黑科技打电话无线耳机配近视男女款防蓝光多功,智能,眼镜,,,389,0.12,,2人收货,浙江,温州,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL墨镜蓝牙一体机耳机行车记录仪录拍照视频近视镜片,智能,眼镜,,,636,0.5,,2人收货,广东,广州,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL带摄像头适用于华为苹果小米WiFi连接可拍摄录制听,智能,眼镜,,,691,0.6,,2人收货,广东,深圳,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL2025新款AI拍摄 500万高清+WIFI互联防抖Vlog 390长,智能,眼镜,,,449,0.82,,2人收货,福建,厦门,退货宝,包邮,XREAL销售店铺,,公益宝贝,
Huawei/华为  2,智能,眼镜,,5.3,1169,,,1人收货,北京,,包邮,,博锐数码,,,
Rokid乐奇AR翻译 实时对话同声多国语言 字幕演讲提,智能,眼镜,眼镜,ChatGPT,13136,0.6,,1人收货,安徽,合肥,退货宝,包邮,Rokidmax旗官,,公益宝贝,
NOLOSonicVR游戏一体机私人影院头戴显示器体感4k3d,眼镜,智能,,,1897,0.03,券后价,1人收货,广东,深圳,淘金币已抵1.97元,退货宝,水子臻选,,包邮,
XREAL带摄像头适用于华为苹果小米蓝牙连接可拍摄录制听,智能,眼镜,,,1145,0.7,,1人收货,广东,深圳,退货宝,包邮,XREAL销售店铺,,公益宝贝,
Pico 4 Ultra MR混合现实一体机VR游戏串流虚拟现实空间,眼镜,智能,,,4698,,,0人收货,广东,深圳,包邮,,硅谷尚品科技馆,,,6年老店
Rokid ARLiteARMax2便携非VR高清轻办公游戏观影空间投屏,智能,眼镜,,,4016,0.4,,0人收货,广东,梅州,包邮,,维环迈工厂店,,,
Rokid乐奇V3AI拍摄无线蓝牙音频无线耳机语,眼镜,智能,眼镜,,922,0.26,,0人收货,北京,,退货宝,包邮,Rokidmax旗官,智能,公益宝贝,
Rokid乐奇AI拍摄AM01无线2025年新款蓝牙通话音乐户外运,智能,眼镜,,,2876,0.6,,0人收货,广东,深圳,退货宝,包邮,Rokidmax旗官,,公益宝贝,
Rokid乐奇【热卖爆款】AI拍摄无线蓝牙音频眼,眼镜,智能,智能,MicroOLED,6676,0.6,,0人收货,上海,,退货宝,包邮,Rokidmax旗官,,公益宝贝,
二手华为VRGlass 6DoF 手机电脑游戏套装一体机,眼镜,智能,眼镜,,409,,,0人收货,广东,佛山,包邮,,枫知数码小店,,,
二手华为（HUAWEI）Vision GlassAR头显3D全景体感游戏机,智能,眼镜,,,1499,,,0人收货,广东,佛山,包邮,,枫知数码小店,,,
雷鸟RayNeo Air 3s Pro柯南联名款AR 高清巨幕观影,智能,眼镜,眼镜,,1547,0.03,券后价,0人收货,辽宁,沈阳,淘金币已抵1.97元,包邮,回到未来VR,,,
热销Neo3  一体机vrvr体感游戏机3D游戏设备国行全新其他,眼镜,智能,,,3402,0.42,,0人收货,北京,,退货宝,包邮,镐静定制馆,,,
Rokid乐奇V3新品AI拍摄无线蓝牙音频xr语音,眼镜,智能,眼镜,,2722,0.7,,0人收货,广东,中山,退货宝,包邮,Rokidmax旗官,眼镜,公益宝贝,
二手Pico Neo3至尊版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,LCD,1248,,,0人收货,安徽,合肥,退货宝,包邮,众山小智能设备店,眼镜,,
PICO4Ultra 混合现实VR游戏机PICO4设备一体机体感,眼镜,,,LCD,2899,,,0人收货,安徽,合肥,退货宝,包邮,众山小智能设备店,,,
Xiaomi小米AI小米骨传导拍摄超级小爱小米ai,眼镜,智能,眼镜,,1738,,券后价,0人收货,北京,,退货宝,包邮,金盈数码商城,眼镜,,
Rokid乐奇第一人称AI拍照带200W像头视频自动变色通话音,智能,眼镜,,,569,0.81,,0人收货,浙江,杭州,退货宝,包邮,乐奇旗官,,公益宝贝,
Rokid乐奇墨镜蓝牙一体机耳机行车记录仪录拍照视频近视,智能,眼镜,,,627,,,0人收货,浙江,杭州,退货宝,包邮,乐奇旗官,,公益宝贝,
Rokid乐奇StarV View高清观影便携屏aivr私人影,智能,眼镜,眼镜,,6268,0.1,,0人收货,浙江,杭州,退货宝,包邮,乐奇旗官,眼镜,公益宝贝,
小米AI蓝牙AI拍照翻译听歌多功能拍照正品,眼镜,智能,眼镜,,1930,,券后价,0人收货,山东,济南,包邮,,云像数科,眼镜,,
XREAL One 全新AR ar3DoF悬停 非翻译,智能,眼镜,眼镜,,3840,,,0人收货,广东,深圳,包邮,,恒远科技百货店,眼镜,,
XREAL One 全新AR ar3DoF悬停 非翻译,智能,眼镜,眼镜,,3840,,,0人收货,广东,深圳,包邮,,恒远商贸百货店3,眼镜,,
二手Pico 4Neo3/4先锋版vr一体机vr3dvr游戏视频,眼镜,智能,眼镜,,1158,,券后价,本月行业热销,广东,广州,3期,店铺满1000减70,塞尔达电玩,眼镜,退货宝,8年老店
VITUREARmax2若琪ai,智能,眼镜,,,7512,0.6,,1人收货,浙江,杭州,退货宝,包邮,VITURE旗官,,公益宝贝,
【点击详情页预约锁定名额】RokidGlasses乐奇AI语音拍照带镜头导航实时翻译提词灵伴科技若琪,智能,眼镜,,MicroOLED,791998,0.03,券后价,0人收货,安徽,滁州,官方立减12%,淘金币已抵1.97元,rokid乐映专卖店,,退货宝,
直连华为iPhoneGOOVIS Art开放式高清3D头戴显示器AR连电脑平,眼镜,智能,,MicroOLED,3499,,券后价,本月行业热销,广东,深圳,官方立减12%,6期,goovis酷睿视旗舰店,,退货宝,7年老店
iTour亲爱的翻译官AR 实时对话同声AI翻译英语在线离线,智能,眼镜,,ChatGPT,6967,,,0人收货,北京,,包邮,,夏栢夏栢,,,
可编程,智能,眼镜,,,12000,,,0人收货,北京,,包邮,,源起科技,,,
甄选HUAWEI Vision Glass 观影 120英寸虚拟巨幕 低蓝光,智能,眼镜,,黑色,5433,0.6,,0人收货,浙江,杭州,退货宝,包邮,聚鑫五金堂,,,
雷鸟Air 3第三代口袋电视AR高清观影非vrvision pro平替,智能,眼镜,眼镜,,1647,0.03,券后价,本月行业热销,广东,东莞,满1500减150,官方立减12%,雷鸟智能眼镜旗舰店,,,回头客1万
甄选XREAL Air 2 Pro AR电致变色翻译无人机空间,智能,眼镜,眼镜,,4024,0.2,,0人收货,北京,,包邮,,骏泰工厂,眼镜,,
XREAL One全新AR原生3DoF空间悬停非vr巨幕影院自研,智能,眼镜,眼镜,,3897,0.03,券后价,0人收货,广东,深圳,淘金币已抵1.97元,退货宝,水子臻选,,包邮,
华为太阳GM联名款二代时尚蓝牙墨镜耳机,智能,眼镜,眼镜,,118,,,0人收货,北京,,3期,包邮,燎原智创数码,,,
雷鸟V3小款Slim充电盒款AI拍摄无线蓝牙音频耳机语音操控,智能,眼镜,,,1775,0.03,券后价,0人收货,湖南,长沙,3期,淘金币已抵1.97元,租天下数码,,包邮,17年老店
雷鸟 V3AI拍摄无线黑科技户外拍照一体新品,眼镜,智能,眼镜,阿里智能,1487,0.03,券后价,0人收货,山东,济南,淘金币已抵1.97元,包邮,济南茂昌眼镜店,智能,,8年老店
【新品发售】ROKID Station2乐奇AR空间计算终端,智能,眼镜,眼镜,,1499,,券后价,0人收货,北京,,3期,退货宝,兆为VR,智能,包邮,
二手 xreal air2 proar 电致变色 空间计算终端 3dof悬停,智能,眼镜,,,1388,,券后价,0人收货,北京,,包邮,,智能AR眼镜店,,,
iTour亲爱的翻译官AR翻译实时翻译同传在线翻译出国翻译,眼镜,智能,,,9490,0.34,券后价,0人收货,广东,韶关,店铺满2000减200,退货宝,tb862239038922,,包邮,
热销XREAL Air 2 ProAR电致变色翻译功能AR 非vr,智能,眼镜,眼镜,,3908,0.04,,0人收货,上海,,退货宝,包邮,汐粒五金,眼镜,,
Huawei/华为2蓝牙耳机通话智慧播报听音乐手势操控开放式,智能,眼镜,,5.3,1599,,,0人收货,河南,郑州,退货宝,包邮,嘉梁数码正品国行,,,
Rokid乐奇3DAR头戴式显示器安卓苹果电脑真人吃鸡游戏机,智能,眼镜,,,5726,0.6,,0人收货,广东,深圳,退货宝,包邮,Rokidmax旗官,,公益宝贝,
XREAL适用华为ai实时翻译同声传译蓝牙通话隐蔽听歌,智能,眼镜,智能,,955,0.7,,0人收货,广东,深圳,退货宝,包邮,XREAL销售店铺,,公益宝贝,
二手Pico 4 Ultra 256G VR一体机4K体感游戏机3D虚拟现实,眼镜,智能,,,2058,,,0人收货,四川,成都,退货宝,包邮,雏鸟3C数码,,,
XREAL适用实时翻译耳机华为小米苹果通用听歌接电功能,智能,眼镜,,,1335,0.7,,0人收货,北京,,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREAL时尚2024新款防眩光高清黑科技电子蓝牙通话语音助,智能,眼镜,,,632,0.7,,0人收货,广东,东莞,退货宝,包邮,XREAL销售店铺,,公益宝贝,
XREALARStarV View高清观,智能,眼镜,,,6277,0.6,,0人收货,北京,,退货宝,包邮,XREAL销售店铺,,公益宝贝,
雷鸟蓝牙磁吸套镜近视墨镜驾驶镜日夜两用可定制度数,眼镜,,,,632,0.7,,0人收货,浙江,温州,退货宝,包邮,雷鸟旗官,,公益宝贝,
雷鸟第一人称AI拍照带200W像头视频自动变色通话音乐运动,智能,眼镜,,,579,0.31,,0人收货,北京,,退货宝,包邮,雷鸟旗官,,公益宝贝,
雷鸟时尚2024新款防眩光高清黑科技电子蓝牙通话语音助手,智能,眼镜,,,632,0.7,,0人收货,广东,东莞,退货宝,包邮,雷鸟旗官,,公益宝贝,
雷鸟ai演讲提词器实时翻译字幕会议助手神器MYVU蓝牙耳机,智能,眼镜,,,5036,0.9,,0人收货,安徽,滁州,退货宝,包邮,雷鸟旗官,,公益宝贝,
雷鸟AI拍摄无线蓝,眼镜,智能,眼镜,,6266,0.2,,0人收货,广东,东莞,退货宝,包邮,雷鸟旗官,,公益宝贝,
雷鸟StarV View高清观影便携屏aivr私人影院visi,智能,眼镜,眼镜,,6277,0.6,,0人收货,北京,,退货宝,包邮,雷鸟旗官,眼镜,公益宝贝,
雷鸟air3S配镜 口袋电视AR原装正品专用近视远视散光镜片定制,眼镜,,,不支持智能,200,,券后价,0人收货,北京,,退货宝,包邮,兆为VR,,,
XREAL One高清AR巨幕原生3dof 悬停自研X1空间计算便携式电视,眼镜,,,,3599,,,0人收货,江苏,无锡,包邮,,幻客VR智能,,,
【双11超级新品】雷鸟Ar 3 第三代口袋电视 AR 高清观e影,智能,眼镜,,,7977,0.9,,0人收货,广东,东莞,包邮,,tb3121544341457,,,
【撩客服下单】XREAL One AR 博士 高端定制近视镜片专属定制 【不支持7天无理由退货】,眼镜,眼镜,,,297,0.03,券后价,94人收货,广东,深圳,淘金币已抵1.97元,退货宝,XREAL旗舰店,,包邮,回头客7千
XREAL Beam Pro AR空间计算终端 适配Air系列空间计算 真3D空间视频拍摄3DoF空间大屏,眼镜,,,,1297,0.03,券后价,32人收货,江苏,苏州,热销爆款,满800减80,XREAL旗舰店,,官方立减12%,回头客7千
【定制商品不退货】INMO AR专属近视配镜服务 镜片定制配镜 默认下单不配镜 请先联系确认,眼镜,,,不支持智能,497,0.03,券后价,18人收货,广东,深圳,3期,淘金币已抵1.97元,INMO旗舰店,,退货宝,
Xiaomi小米AI小米骨传导拍摄小米首款ai设备,眼镜,智能,眼镜,,1859,,,200+人收货,广东,东莞,退货宝,包邮,米华通讯商城企业店,眼镜,,
Xiaomi小米AI小米骨传导拍摄小米首款ai设备,眼镜,智能,眼镜,,1999,,,51人收货,广东,东莞,包邮,,萌趣贴贴屋,眼镜,,
【咨询优惠】 2配镜服务防蓝光变色镜片支持加工定制,智能,眼镜,,树脂,79,,,30人收货,广东,深圳,3期,包邮,华为五洲联鑫专卖店,,,回头客6万
小米AI经典D型镜框设计变色镜片视频录制立体声ai,眼镜,智能,眼镜,无线蓝牙耳机,1999,,,25人收货,上海,,包邮,,小贝智能生活,,,回头客4千
Xiaomi小米ai小米骨传导拍摄小米ai设备首款,眼镜,智能,眼镜,,1888,,,22人收货,上海,,包邮,,君川数码商城,眼镜,,
小米米家音频悦享版触控通话耳机无线办公近视配镜降噪,智能,眼镜,,无线蓝牙耳机,428,,,14人收货,上海,,包邮,公益宝贝,小贝智能生活,,,回头客4千
小米米家MIJIA音频悦享版蓝牙防漏音降噪长续航,智能,眼镜,智能,是否近视两用,449,,券后价,13人收货,广东,深圳,店铺满5减3,包邮,小米电器正品直销,眼镜,,
【政府补贴15%】华为2蓝牙耳机蓝牙4代墨镜夹片,智能,眼镜,智能,智能耳机,1279,,补贴价,13人收货,河南,郑州,热销爆款,满800减80,华为舒耀专卖店,眼镜,已补700元,回头客5万
小米米家MIJIA音频悦享版多功能通话听歌蓝牙近视镜长续,智能,眼镜,,,188,,,8人收货,江苏,苏州,3期,退货宝,智能家居上海店,,包邮,回头客2千
Pico Neo3VR一体机体感vr游戏3D视频steamVR游戏机VR,眼镜,智能,眼镜,高通,1140,,券后价,本月行业热销,广东,中山,店铺满1100减10,包邮,VR商铺,,,
Rokid乐奇2000W新款AI录象通话音乐拍照翻译识物录音相机,智能,眼镜,,,560,0.31,,0人收货,广东,深圳,退货宝,包邮,Rokidmax旗官,,公益宝贝,
【补贴20%】华为第三代飞行员黑科技耳机蓝牙开放式,智能,眼镜,眼镜,,579,,,1人收货,河南,郑州,3期,退货宝,麒麟科技数码,,包邮,
NOLO Sonic VR游戏一体机私人影院头戴显示器体感4k3d家用可以玩游戏虚拟现实steam设备,眼镜,智能,眼镜,高通,1697,0.03,券后价,本月行业热销,陕西,西安,满1500减150,官方立减12%,nolo旗舰店,,6期,7年老店
Rokid乐奇蓝牙耳机200W高清像素拍照视频听音乐接打电话,智能,眼镜,,多边形,3228,0.1,,0人收货,浙江,杭州,退货宝,包邮,乐奇旗官,,公益宝贝,
【顺丰速发】INMO GO2 AR翻译 实时双语字幕同声翻译 提,智能,眼镜,,,6513,0.7,,0人收货,广东,梅州,包邮,,慕青直工厂店,,,
iTour亲爱的翻译官AR翻译 实时对话同声多国语言 字,智能,眼镜,眼镜,,9313,,,0人收货,江苏,宿迁,包邮,,无人机配件精品店,,,
小米AI骨传导拍摄超级小爱开放式音频长续航变色,眼镜,眼镜,智能,,2049,,券后价,0人收货,广东,东莞,店铺满9减8,,小米米家品牌直供,眼镜,,回头客1千
XREAL One 全新AR 3DoF悬停 AI非翻译  同vision pro,智能,眼镜,眼镜,,2800,,,0人收货,江苏,宿迁,包邮,,无人机配件精品店,,,
PICO Neo3 VR一体机vrvr体感游戏机43D串流Steam,眼镜,智能,眼镜,高通,2999,,,0人收货,山东,青岛,包邮,,PICO 自营店,,,
全新VR一体机Pico4 8+128 8+256 虚拟现实,眼镜,智能,眼镜,,2499,,,0人收货,湖北,武汉,包邮,,白洞VR,,,11年老店
Rokid乐奇 N1 VR私人影院手机专用ar头戴显示器眼睛3d眼,眼镜,智能,,不支持智能,330,0.6,,0人收货,陕西,西安,退货宝,包邮,Rokidmax旗官,,公益宝贝,
全新PicoNeo3VR一体机piconeo3vr体感游戏机4K头盔虚拟VR,智能,眼镜,,,2643,0.68,,0人收货,广西,柳州,包邮,,易迅科技数码店,,,
Pico4 VR4K VR一体机年度重磅爆款vr3D虚拟现实,智能,眼镜,眼镜,高通,2680,,,0人收货,安徽,合肥,退货宝,包邮,水与月智能生活,,,
鸿顺达定制款VR充电柜 液晶显示屏VR头盔存储充电柜 USB,眼镜,智能,,高通,7500,,,0人收货,广东,深圳,包邮,,深圳市鸿顺达设备工厂,,,8年老店
【重磅新品】VITURE Pro 旗舰级XR/AR串流套装畅玩3A大作,智能,眼镜,,,3429,0.03,券后价,0人收货,北京,,官方立减12%,淘金币已抵1.97元,萌宝VR智能穿戴,,退货宝,
成都现货PICO 4 VR一体机VR 8+256G年度旗舰新机vr体感游戏机,眼镜,,,高通,2399,,,0人收货,四川,成都,包邮,,海信音视频记录仪,,,
