购买日期及型号,评论
2025年6月15日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,还没开始使用 一会试试
2025年6月15日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,发货很迅速，屏幕很清晰，声音也很清楚，魔盒2是要分开发货的，收到尝试后再评价
2025年6月15日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,这款产品真的轻巧便携，用起来很方便，而且显示效果非常清晰，非常满意，618购买的价格很优惠，值得入手。
2025年6月15日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,到手一周了，还没怎么用。还在等我的眼镜到货。 倒是开机试了一下，整体效果不错，就是画面没有想象中的大。其他还可以
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,1、看电视剧，很有沉浸感，用手机看电视剧时，恨不得很快看完，2、可以躺着看，不用手抬着手机，冬天时手可以在被窝里。3、屏幕大、画质很清晰，比用手机看好很多。4、旧手机可以代替魔盒。
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,一个人在家的话真的不需要投影仪了，直接买雷鸟就好。效果比投影好，躺在床上用有电影院的感觉。照片3d效果惊艳，电影效果等待尝试。
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,一千出头一点性价比真是高�
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,性价比很高，连接简单，画面很清晰，亮度足够，户外也能使用。
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,整体使用感受不错。边缘没有模糊不清的情况，清晰度明显提升，长时间佩戴因人而异。
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,比预想中要好，这几年AR眼镜进步还是比较明显的，配件的越来越多多了，不过APP功能还比较简单，不是很好用希望后面能提升
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,爽是真的爽 但是忘记配镜片啦…… 包装非常好看 也很有质感 本体很时尚 非常好看 鼻托软软的 非常舒服 等配镜到了 好好爽
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,眼镜非常轻便，买来试用一下还不错，画面清晰流畅，近视的记得配个镜片
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,观影效果很好很清晰，音响效果也很好。镜腿三档调节，配镜片服务很周到，客服好评。
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,趁活动买的，应该是这次618买的最喜欢的一个了，还没开始用，看着质量就不错
2025年6月15日 · 【直连DP设备】雷鸟Air 3s Pro,这款AR眼镜画面*真，佩戴轻便，交互多样，科技体验感直接拉满!
2025年6月16日 · 【Switch专属】雷鸟Air 3s Pro+JoyDock,第一时间下单购买，比想象中优秀，适合看片 玩游戏，物流快 客服nice
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,先说缺点 1.屏幕和视线距离有关，对着笔电看，还不如它的屏幕大，看远方，感觉就不错了。 2。魔盒电量掉得很快，3小时左右就没电了。发热，有点卡，用的芒果TV hd版，点的频繁了闪退；夸克卡的连不上网（不知道是夸克的问题还是它的问题），网盘倒是能下载。 3.魔盒结合了电视盒子和平板的缺点，光标走路时乱晃，tv版软件和魔盒触屏适配的又不行，hd版软件只有夸克（卡），芒果TV（闪退），优酷（没用过），百度网盘（没会员）。生态是真不行，应用商店里就8个应用，其中6个还都不需要。 4.魔盒30s息屏，还改不了，本来就慢，卡了30秒之后又熄屏了。 5.垃圾魔盒，首页的几个应用（爱优腾芒）不需要，还卸载不了。 再说优点，大屏，声音不错。 好么，总结就是眼镜不错，魔盒垃圾。
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,是个好物，轻巧易携带，绝对是出差、旅行、办公的必备品
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,玩具，小众，拿出来显摆又太大众。现有技术的综合，所以现有技术的缺陷必须接受。希望越来越好。
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,眼距69的比目鱼戴了都说好 对宽瞳距用户比上一代更友好 清晰度进入我的可接受范围内了，比上一代更好 送的充电转接器可以直连 ns1，ns2不适配 观影体验不错，魔盒2代该有的功能都有，可以很方便的用 smb 接入家里的 nas，就是体感光标移动速度加个可调的选项就好
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,第一眼就被雷鸟AR眼镜的精致外观俘获，它的屏幕亮度很哇塞，画面始终明亮鲜活、细节分毫毕现。 搭配超带感的扬声器，音效立体环绕，仿佛置身动感现场，每一次使用都是一场沉浸式的视听狂欢，体验感直接拉满！IOS APP的功能没有Android多，需要加快开发进度。
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,赶上新品发布，试用满意，戴上不会晕，颜值可以，推荐
2025年6月16日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,这个价位这个体验真的超级惊喜了，敢7天无理由退就是对产品自信啊，喜欢的亲们真的可以下手试试，从此玩手机不怕砸脸了哈哈哈，希望以后能出近视度数自动调试的功能，这个加上近视镜片太贴脸了～
2025年6月16日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,很好很强大，发货快，质量好五星好评。。。客服响应速度非常快。顺丰给力。
2025年6月16日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,性价比真高，躺着看电影的神器。亮度够用，屏幕观感够大。字幕也看的很清晰。三种音效也有明显区别。雷鸟没让我失望！值得拥有！ 缺点是连接线感觉有点短，无法像VR那样 拉进屏幕放大缩小之类的。
2025年6月16日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,效果非常惊艳。因为工作关系经常换驻地，比显示器方便太多了。
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,不错，效果很好，值得购买。
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,之前用的雷鸟air2s，现在换代升级，实测vivo x70pro+ iqoo13 三星flip5 s23u支持dp输出，红米note12turbo note11tpro+ 真我neo7不支持dp输出。
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,买来作为win掌机的显示器用，色彩表现远超预期。音箱合格特别是轻语模式好评。
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,到手用了几天了，声音和画面都不错，我拿来看动漫很舒服，而且客服服务确实好！！！
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,很好用，画面很清晰，戏院一样的观影体验，戴起来也很舒适，物超所值～
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,很棒很棒，简直就是一块儿移动的大屏幕。去咸鱼低价买一个不带屏幕的笔记本，基本没有色差，音效嘎嘎好，玩游戏追剧首选！
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,很滿意，好用，方便和相當清楚。
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,这款AR眼镜迭代到现在，效果真的挺赞，亮度很高，色彩靓丽，白天也能看，有些环境反光也影响不大，画面还是很明亮。投射的虚像大约4米多，画面应该有120寸以上。晚上观影代入感更强，躺床上看。这价格也绝了，香！
2025年6月16日 · 【直连DP设备】雷鸟Air 3s Pro,雷鸟air3spro ar眼镜真是超乎预期！画面清晰，佩戴舒适，长时间使用也不会感到疲劳。操作简便，交互流畅，无论是工作还是娱乐，都能提供出色的增强现实体验。非常推荐给追求科技感和高品质生活的朋友们！
2025年6月17日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,买回来适应了一段时间，总体还是挺好用的。就是魔盒有时会失灵自动退出程序，还是有些需要成长的空间的
2025年6月17日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,超清巨幕观影震撼体验!画质细腻如临其境，佩戴轻若无物，智能交互流畅便捷，千元档显示天花板
2025年6月17日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,这次购物非常棒，商品性价比非常高，值得入手。观影效果也很棒，画质音质都不错
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,收到使用起来还是很方便 清晰度还是可以的 使用下来还是很方便
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,物超所值、五星好评、质量很好、全新、很好、音质很好。 外形美观，做工踏实，音效棒极了物美价廉值得拥有!
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,眼镜挺好的，很清晰，声音也很通透，看视频，电影也很方便，但是这个魔盒很一般，功能单一，应用商店居然无法搜索软件，还要自己下载安装包，有些软件登录需要用手机对着眼镜片扫码，很费劲，好好改一下吧，眼镜确实好。
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,眼镜轻巧灵便，到货速度快，客服耐心细致。提出少了配件也立马解答，而且缺货配件两天就给配齐了。观影感受也不错，大屏看着爽。另外购买的近视镜片到货也很快。
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,第一次接触AR眼镜，雷鸟没有让我失望，甚至有些惊喜，带上眼镜立刻就是巨屏，环绕的立体声也非常的震撼，仿佛在电影院包了场。玩了几个小时也没有觉得累眼镜。魔盒二代虽然晚到了几天，不过也没有让我失望，连接方便，操作简单，就是一个移动的电视盒子，以后出门就又多了个娱乐。客服小哥服务也非常好，有问必答，帮我解决了好多疑问，必须好评。喜欢时尚电子产品的伙伴可以放心入手，不会失望的。
2025年6月17日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,雷鸟air3spro是款不错的眼镜，使用方面快捷，佩戴舒适不重，搭配魔盒2真滴是非常方面，对于我这种上业务班滴人群来说简直是福音。尤其值晚班滴时候不在枯燥！
2025年6月17日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,下單兩天後收到，開箱即用非常方便，還沒有撕掉外邊的保護貼，只是用來看電影的話，這樣遮光更好。
2025年6月17日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,东西比想象的好很多，画质清晰，镜框没有廉价感，价格好入门，体验不错。
2025年6月17日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,看起來像是45吋螢幕，並沒有100吋那麼誇張，影片播放的亮度跟色調不錯，使用了半個小時後眼睛也不會酸 但是支援的DP手機非常少，建議有高階支援DP手機或是有筆電再考慮要不要購買
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,东西还是可以的，略微有点重，可能是不戴眼镜不适应吧。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,体验不错，清晰度也还行，就是近视需要配镜片，软件适配还需要提高，接入雷鸟xr有3dof，效果还行。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,佩戴方便，重量轻，画面清晰，没有颗粒感，亮度高。 看电影效果不错。 不同于VR眼镜，这个AR画面跟着头动。但是VR眼镜佩戴不舒服，各有利弊
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,做工不错，重量也比较轻，镜腿鼻托可调，佩戴舒适。配的近视镜片安装方便，观影的话画面清晰度可以接受，亮度也够用，音效也不错
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,入眼亮度很惊艳，环境光较亮时显示效果依然很好，佩戴也比较舒适，做工精致、沉浸式观影体验满足个人的追剧需求
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,刚收到雷鸟Air 3S Pro就迫不及待试用了，效果不错！色彩鲜艳，音效非常好。美中不足是右下角边缘看的不是很清晰，其他位置都很清晰。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,发货很快 包装结实 画面清晰 玩游戏很过瘾 值得购买
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,发货速度很快，服务也很好，首次购买，体验很棒，配合三星dex系统，随时可以看片玩游戏，非常方便，期待有4k分辨率的新产品
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,图像不错，大屏幕，用来看电影，音响效果也挺好，还有3D的功能，打游戏有点累，看不到键盘全凭感觉了，性价比还是可以的，连接我的小电脑杠杠的
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,太赞了，插到可直连手机上直接用，挺爽，屏好大，又清楚，模式也多，不近视的一点都不伤眼！
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,從商品拿到手體驗幾天之後，這東西真的很方便，雖然是1080p，可是完全不會有畫面模糊粗糙的感覺，畫質很不錯，亮度也夠亮，刷新率也有120hz，有點後悔沒有加購HDMI轉type c的線，只好另外買，有打主機遊戲pc遊戲建議加購，在床上看漫畫小說也很方便，連電腦打遊戲也爽快，好產品。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,性价比很高，眼镜设计轻巧，佩戴舒适，长时间使用也不会感到疲劳，可直连macmini、steamdeck，体验起来不错。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,我给这个神器打100分，800多元，直连苹果16，还能通过送的转接器连接ns游玩！极度清晰，就是音量不够响�
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,显示效果很好，音效也不错，碰上活动打折买的，感觉非常值。希望厂家留意app功能升级，不断带来更多新玩法。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,活动给力，东西很好用，好评
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,画质确实不错。亮度也很高，白天也可以看清。音质也算不错，沉浸感还是可以的。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,看片神器，特别是在动车飞机上，配合上遮光罩就完美了。连接也很方便，我接iPad pro的话可以作为副屏幕用，开启多屏协同�
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,这次购物非常棒，商品性价比非常高，我买的是魔盒2套装，比之前便宜很多，值得入手。观影效果也很棒，画质音质都不错，魔盒2用起来向鼠标一样，很方便，质量出色。物流高效快捷，商家服务贴心，售后完善，有质量问题立即换货，第二天就到。配了个镜片还没到，装上观影体验应该更好。建议魔盒后续升级可以加上看3D影片的APP，可以直接观看3D影片更方便。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,这款智能眼镜的显示效果非常清晰，能够轻松实现与手机的直接连接，使用体验极佳，让我十分满意。此外，商家的送货速度非常快，客服人员的态度也十分友好，整个购物过程非常顺畅。非常推荐给有需要的朋友们购买。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,这款雷鸟air 3s Pro质量绝佳，观影效果一流，超大屏幕就在眼前，色差真实，开启环绕后，音效也很不错
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,连续使用了两天眼镜，确实是一个很好的拓展屏幕，用来连接电脑或者iPad有很好的观影体验，插着ROG Ally简直完美，应对各种串流和观影场景，唯一的缺点可能就是必须要插线了 ��
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,配套的镜片和眼镜集成度很高，也可以独立拆卸。搭配Mac Mini使用更是有奇效，性价比高，是日常拍摄与沉浸体验的理想选择
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,随手一戴就能享受135英寸巨幕观影体验，视觉效果非常棒。画面清晰操作简单，科技感十足超爱
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,雷鸟智能眼镜设计轻巧、性价比高，体验睇劇神器的理想选择。
2025年6月17日 · 【直连DP设备】雷鸟Air 3s Pro,非常好的ar眼镜，适配出差旅游场景，重量控制得很好，长时间佩戴无不适感，也不累。618叠加国补价格也合适，推荐。
2025年6月18日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,效果不错 吃灰的switch 又可以继续玩了 晚上陪孩子也可以一边看电影了 首发加补贴 性价比之选!
2025年6月18日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+joydock,明明已买了全家筒套餐，但第一次快递收货就已经遗留了电视盒2送过来。要三番四次问客服经过两星期的等待才寄回电视盒初次购买体验实在太糟糕，以后不会再购买。
2025年6月18日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,非常好的产品。本体和配件的设计均良好、综合性价比都非常高，值得购买和使用。为优秀的产品，点赞雷鸟产品团队和相关的产品团队。
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,618活动买的，平台补贴外加用了一张9折券，超划算。美女客服很专业！人美！心好！长头发18岁！讲解很详细，魔盒2触屏用起来很便捷，试了连接各种设备一切ok！眼镜盒子，外观时尚时尚！很时尚！4000mah的电量杠杠滴，平时还能当充电宝用！
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,到手用了几天，下班坐在工学椅上斜躺看电影特别舒坦，关灯的话沉浸感强，显示效果很清晰，白天开启强光模式也能看清画面。
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,刷剧感觉蛮好的，推荐还是要组合买这个魔盒2代，可以插内存卡，至于发烫的话，刚好也避开了，价格也蛮实惠的，不亏不亏。
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,属于是ar眼镜里面性价比最高的那批了，亮度很高非常清晰，而且近视的话可以配眼镜很方便
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,很好的一次购物体验 产品很不错
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,淘宝评语：  1200尼特超亮屏，135英寸巨幕震撼！音画双绝，佩戴舒适，出差娱乐神器！
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,物超所值、质量很好、音质很好，性价比高，音效棒极了物美价廉值得拥有!
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,用了几天 画面整体清晰 就四周的小字还是有点模糊 还有就是镜腿位置发热 因为佩戴时在太阳穴附近 戴起来不是很舒服 希望以后有这方面的改进  魔盒2用着也还可以 续航看视频 3个小时左右 整体用起来都还能接受
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,眼镜佩戴舒适 观影效果很棒，清晰度也可以。做工精细，期待下一代产品能做的更好。
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,观望了很久，决定还是买了雷鸟，先尝尝鲜，体验还不错，屏幕够亮够大，是远途旅行出差的好搭子。
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,"雷鸟Air3S Pro入手了一段时间, 配上魔盒体验真的非常 棒' 亮度很高, 即使在强光下画面依然清晰, 98% DCI-P3色域 让色彩表现特别*賣。3D环绕音效非常震撼, 就像在影院 一样, 四扬声器的音质表现也很出色。軍量才769, 长时问 佩兼完全不累, 而且可以适配各种设备, 玩游戏、 看电影都 很流畅, 性价比起高！"
2025年6月18日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,雷鸟最新ar眼镜，价格实惠，看电影巨爽，放在车里，充电洗车的时候就不会无聊了！
2025年6月18日 · 【游戏专属】雷鸟Air 3s Pro+HDMI转接器（新款）,显示效果很好� 清晰又大屏，还支持多设备
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,买来立刻就试用了，外观很炫酷，连到手机上就能用，视频播放很流畅，美中不足是音量有点小，不过音频可以用蓝牙耳机。
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,以前买过air3 这个比那个效果又升级了不少 尤其是音效，很真实 然后眼镜也很清晰 看4k视频非常清楚 真实 120hz高刷很舒服
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,刚收到货 使用起来还是蛮简单的  视频效果可以  使用后再感觉感觉
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,很不错的ar眼镜，以前光听说了没有买过，第一次买就买到了性价比很高的，感觉亮度绝对可以的
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,特别好，很轻便，亮度很高很清楚，画面边缘清晰，需要不近视的使用，建议定制近视镜片。特别棒！
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,發貨很快，看視頻效果不錯，可以擁有私人的摸魚空間。
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,相對上代 這一代四邊角落都清晰 光度我沒有對比因為上一代都足夠 機身溫度比上一代低溫 上一代比較發熱 上一代近視鏡片可以放在這一代使用 音量和上代差不多 整體比上代更出色非常滿意
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,眼镜十分的轻巧 长时间佩戴也不会感觉很重 这次升级亮度以后 在室内的观影效果十分的好 在室外的交通工具上也能够使用 画面色彩明快 刷新率确实能达到120hz ，目前加购的近视眼镜还没到，等到了再试试。 就是有的手机不支持DP买的时候可能要注意下
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,眼镜连接方便，佩戴舒适，画面清晰，亮度高，色彩艳，沉浸感强，体验不错。
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,第一次买这类产品，直连手机或平板，手机必须一直亮屏，让眼镜和手机同步播放，和想象中不太一样，郁闷。
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,这款眼镜真的很不错，亮度高，画面清晰，是观影利器，使用比 VR 头显轻便多了。
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,连接非常方便插上即用，显示得很清楚啊，在家也能体验到电影院里的感觉了！
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,非常好的体验，画面清晰，色彩自然，戴久了也不会不舒服
2025年6月18日 · 【直连DP设备】雷鸟Air 3s Pro,颜值很高，试了一下，挺好用，适合外出办公娱乐。加上国补，很划算了
2025年6月19日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,入手雷鸟air3s pro眼镜、魔盒2和joydock套装。眼镜戴着轻巧，画面清晰。魔盒操作方便，资源多，轻轻松松享受大屏观影。joydock连接switch玩游戏，体验也很不错。值得一提的是客服相当有耐心，有问必答，随时帮助解决遇到的问题，赞�
2025年6月19日 · 【全家桶】雷鸟Air 3s Pro+魔盒2代+JoyDock,非常便携，电视剧重度患者专用，安卓系统，支持的软件非常多，搭配电视盒子，出差出门利器
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,618蹲到好价，性价比拉满。配的近视镜片也很清晰，画面色彩也不错，看番神器。魔盒刚到，操控还是很好用的，其他功能还没尝试。连sd效果也很好比原屏幕颜色清晰度都好。
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,东西非常好，特别实用，推荐给大家购买，非常好的产品
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,国补价格很优惠，客服服务态度很好，产品质量好，性能很优良
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,已经收到了，不过镜片还没有到，需要到了才能使用，到时候再追加评价。
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,这个效果确实震撼到我了。很棒的观影体验。等我配个眼镜。再来好好享受，�
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,这款AR眼镜迭代到现在，效果真的挺赞，亮度很 高，色彩靓丽，白天也能看，有些环境反光也影 响不大，画面还是很明亮。投射的虚像大约4米 多，画面应该有120寸以上。晚上观影代入感更 强，躺床上看。这价格也绝了，香!
2025年6月19日 · 【全能适配丨观影推荐】雷鸟Air 3s Pro+魔盒2代,雷鸟眼镜搭配魔盒，手机视频可投屏到眼镜观看，类似影院的观看效果，观看效果不错。
